Model,Accuracy,ROC-AUC
Logistic Regression,0.9824561403508771,0.9953703703703703
SVM (RBF),0.9824561403508771,0.9950396825396826
Random Forest,0.956140350877193,0.9930555555555556
kNN,0.956140350877193,0.9788359788359788
